P2033   Biogasanlage Dralle  Hohne                       
 74 Werte AIxx            JA     NEIN 
 75 ---                   JA     NEIN 
 76 ---                   JA     NEIN 
 77 ---                   JA     NEIN 
 78 ---                   JA     NEIN 
 79 ---                   JA     NEIN 
 80 SYSTEM                JA     NEIN 
 81 Handschalter!!        JA     NEIN 
 82 A1 Reset xxx         NEIN    NEIN 
 83 ---                   JA     NEIN 
 84 ---                   JA     NEIN 
 85 MBus-Zaehler1         JA     NEIN 
 86 MBus-Zaehler2         JA     NEIN 
 87 MBus-Zaehler3        NEIN    NEIN 
 88 MBus-Zaehler4         JA     NEIN 
 89 MBus-Zaehler5         JA     NEIN 
 90 MBus-Zaehler6         JA     NEIN 
 91 MBus-Zaehler7         JA     NEIN 
 92 ---                   JA     NEIN 
 93 ---                   JA     NEIN 
 94 ---                   JA     NEIN 
 95 ---                   JA     NEIN 
 96 ---                   JA     NEIN 
 97 ---                   JA     NEIN 
 98 ---                   JA     NEIN 
 99 ---                   JA     NEIN 
100 ---                   JA     NEIN 
101 ---                   JA     NEIN 
102 ---                   JA     NEIN 
103 ---                   JA     NEIN 
104 ---                   JA     NEIN 
105 ---                   JA     NEIN 
106 ---                   JA     NEIN 
107 ---                   JA     NEIN 
108 ---                   JA     NEIN 
109 ---                   JA     NEIN 
110 ---                   JA     NEIN 
111 ---                   JA     NEIN 
112 ---                   JA     NEIN 
113 ---                   JA     NEIN 
114 ---                   JA     NEIN 
115 ---                   JA     NEIN 
116 ---                   JA     NEIN 
117 ---                   JA     NEIN 
118 ---                   JA     NEIN 
119 ---                   JA     NEIN 
120 ---                   JA     NEIN 
121 ---                   JA     NEIN 
122 ---                   JA     NEIN 
123 ---                   JA     NEIN 
124 ---                   JA     NEIN 
125 ---                   JA     NEIN 
126 ---                   JA     NEIN 
127 ---                   JA     NEIN 
128 ---                   JA     NEIN 
129 ---                   JA     NEIN 
130 ---                   JA     NEIN 
131 ---                   JA     NEIN 
132 ---                   JA     NEIN 
133 ---                   JA     NEIN 
134 ---                   JA     NEIN 
135 ---                   JA     NEIN 
136 ---                   JA     NEIN 
137 ---                   JA     NEIN 
138 ---                   JA     NEIN 
139 ---                   JA     NEIN 
140 ---                   JA     NEIN 
141 ---                   JA     NEIN 
142 ---                   JA     NEIN 
143 ---                   JA     NEIN 
144 ---                   JA     NEIN 
145 ---                   JA     NEIN 
146 ---                   JA     NEIN 
147 ---                   JA     NEIN 
148 ---                   JA     NEIN 
149 ---                   JA     NEIN 
150 ---                   JA     NEIN 
151 ---                   JA     NEIN 
152 ---                   JA     NEIN 
153 ---                   JA     NEIN 
154 ---                   JA     NEIN 
155 ---                   JA     NEIN 
156 ---                   JA     NEIN 
157 ---                   JA     NEIN 
158 ---                   JA     NEIN 
159 ---                   JA     NEIN 
160 ---                   JA     NEIN 
161 ---                   JA     NEIN 
162 ---                   JA     NEIN 
163 ---                   JA     NEIN 
164 ---                   JA     NEIN 
165 ---                   JA     NEIN 
166 ---                   JA     NEIN 
167 ---                   JA     NEIN 
168 ---                   JA     NEIN 
169 ---                   JA     NEIN 
170 ---                   JA     NEIN 
171 ---                   JA     NEIN 
172 ---                   JA     NEIN 
173 ---                   JA     NEIN 
174 ---                   JA     NEIN 
175 ---                   JA     NEIN 
176 ---                   JA     NEIN 
177 ---                   JA     NEIN 
178 ---                   JA     NEIN 
179 ---                   JA     NEIN 
180 ---                   JA     NEIN 
181 ---                   JA     NEIN 
182 ---                   JA     NEIN 
183 ---                   JA     NEIN 
184 ---                   JA     NEIN 
185 ---                   JA     NEIN 
186 ---                   JA     NEIN 
187 ---                   JA     NEIN 
188 ---                   JA     NEIN 
189 ---                   JA     NEIN 
190 ---                   JA     NEIN 
191 ---                   JA     NEIN 
192 ---                   JA     NEIN 
193 ---                   JA     NEIN 
194 ---                   JA     NEIN 
195 ---                   JA     NEIN 
196 ---                   JA     NEIN 
197 ---                   JA     NEIN 
198 ---                   JA     NEIN 
199 ---                   JA     NEIN 
200 ---                   JA     NEIN 

Analogeingaenge:
 Nr Name                 UAbgl  OAbgl  Min/Max-Ueberwachung
  1 Aussent. nord          1280      0  -25.0   55.0    JA  
  2 Holzkessel1 VL         1270      0    0.0  105.0    JA  
  3 Holzkessel1 RL         1165      0    0.0  105.0    JA  
  4 Holzkessel2 VL         1200      0    0.0  105.0    JA  
  5 Holzkessel2 RL         1200      0    0.0  105.0    JA  
  6 Biogaskessel VL        1200      0    0.0  105.0    JA  
  7 Biogaskessel RL        1200      0    0.0  105.0    JA  
  8 Puffer1 oben           1160      0    0.0  105.0    JA  
  9 Puffer1 Mitte oben     1212      0    0.0  105.0    JA  
 10 Puffer1 Mitte          1203      0    0.0  105.0    JA  
 11 Puffer1 Mitte unten    1248      0    0.0  105.0    JA  
 12 Puffer1 unten          1311      0    0.0  105.0    JA  
 13 Hauptkreis VL          1200      0    0.0  105.0    JA  
 14 Hauptkreis RL          1280      0    0.0  105.0    JA  
 15 HK1 Nordtrasse VL      1167      0    0.0  105.0    JA  
 16 HK1 Nordtrasse RL      1175      0    0.0  105.0    JA  
 17 HK2 Westtrasse VL      1290      0    0.0  105.0    JA  
 18 HK2 Westtrasse RL      1244      0    0.0  105.0    JA  
 19 HK3 Suedtrasse VL      1151      0    0.0  105.0    JA  
 20 HK3 Suedtrasse RL      1219      0    0.0  105.0    JA  
 21 Zuluft Trocknung       1280      0    0.0  105.0   NEIN 
 22 BHKW VL                1111      0    0.0  105.0   NEIN 
 23 BHKW RL                1157      0    0.0  105.0   NEIN 
 24 Puffer2 oben           1130      0    0.0  105.0   NEIN 
 25 Puffer2 Mitte oben     1205      0    0.0  105.0   NEIN 
 26 Puffer2 Mitte          1211      0    0.0  105.0   NEIN 
 27 Puffer2 Mitte unten    1280      0    0.0  105.0   NEIN 
 28 Puffer2 unten          1280      0    0.0  105.0   NEIN 
 29 Raumtemp.              1280      0    0.0  105.0   NEIN 
 30 Biogas Fuellstand(%)      0   5000    0.0  105.0   NEIN 
 31 frei GS                2500   3567   -1.5    2.3   NEIN 
 32 Druck Verteiler        1000   5000   -0.1    4.5   NEIN 

Analogausgaenge:
 Nr Name                  U(0%)  U(100%)  Betriebsart     Hand%  Max%   Min%
  1 Soll PMP Biogaskess.   0.00  10.00    AUTO             0.1  100.0   30.0
  2 Soll Pumpe Holzk.1     0.00  10.00    AUTO            20.0  100.0   28.0
  3 Sollleist. Holzk.2    10.60   0.00    AUTO            10.0  100.0    0.0
  4 (Soll PMP Holzk.2)     0.00  10.00    AUTO             0.1  100.0   30.0
  5 Soll Vent. Trocknung   0.00  10.00    AUTO            50.0  100.0   20.0
  6 Soll Pumpe HK1 Nord    0.00  10.00    AUTO            20.0  100.0   20.0
  7 Soll Pumpe HK2 West    0.00  10.00    AUTO            75.0  100.0   20.0
  8 Soll Pumpe HK3 Sued    0.00  10.00    AUTO            71.3  100.0   20.0

PWM/Takt Ausgaenge:
 Nr Name                 Betriebsart    Hand%  Max%    Min%

Digitalausgaenge:
 Nr Name                   Betriebsart  
  1 Holzkessel1            AUTO       
  2 Pumpe Holzkessel1      AUTO       
  3 RL Mischer Holzk.1 auf AUTO       
  4 RL Mischer Holzk.1 zu  AUTO       
  5 Holzkessel2            AUTO       
  6 (Pumpe Holzkessel2)     AUS DAUER
  7 (RL Mi Holzk.2 auf)    AUTO       
  8 (RL Mi Holzk.2 zu)     AUTO       
  9 Biogaskessel           AUTO       
 10 Biogaskessel P rauf    AUTO       
 11 Biogaskessel P runter  AUTO       
 12 Pumpe Biogaskessel     AUTO       
 13 RL Mischer Biogask auf AUTO       
 14 RL Mischer Biogask zu  AUTO       
 15 Pumpe HK1 Nordtrasse   AUTO       
 16 HK1 Mischer auf        AUTO       
 17 HK1 Mischer zu         AUTO       
 18 Pumpe HK2 Westtrasse   AUTO       
 19 HK2 Mischer auf        AUTO       
 20 HK2 Mischer zu         AUTO       
 21 Pumpe HK3 Suedtrasse   AUTO       
 22 HK3 Mischer auf        AUTO       
 23 HK3 Mischer zu         AUTO       
 24 Gasfackel EIN          AUTO       
 25 Ventilator Trocknung   AUTO       
 26 Mischer Trocknung auf  AUTO       
 27 Mischer Trocknung zu   AUTO       
 28 Verdichter Biogas      AUTO       
 29 frei                   AUTO       
 30 Sammelstoerung         AUTO       
 31 Vers. Pi/Monitor AUS   AUTO       
 32 VPN-Modul AUS          AUTO       

Digitaleingaenge:
 Nr Name                       Betriebsart  
  1 HZG-Notschalter            norm  
  2 Holzk.1 Betrieb (Stoker)   norm  
  3 Holzkessel1 Stoerung       norm  
  4 Holzk.2 Betrieb (Stoker)   norm  
  5 Holzkessel2 Stoerung       norm  
  6 Biogaskessel Betrieb       norm  
  7 Biogaskessel Stoerung      norm  
  8 Pumpe HK1 Nord Betrieb     norm  
  9 Stoe PMP HK1 Nord          norm  
 10 Pumpe HK2 West Betrieb     norm  
 11 Stoe PMP HK2 West          norm  
 12 Pumpe HK3 Sued Betrieb     norm  
 13 Stoe PMP HK3 Sued          norm  
 14 Stoe Druckhaltung          norm  
 15 Biogas Fuellstand MAX      norm  
 16 NOT-AUS Trockn. (1:OK)     norm  

Kessel 1:
 Holzkessel mit  0-10V  Temp-Anst.      
 Pumpe mit 0-10V Ansteuerung            
Leistung(kW):              499
Pumpennachlauf(s):         180
Anf. Zeit bis P-Reg(s):    900
Max VL-Temp (>+4K AUS):   90.0
Max Spreizung(K):         24.0
Ueberh. VL-Soll(K):        3.0
MindestAA Betrieb(%):     20.0
Stellzeit P-Reg(s):         30
Kesselrang:                  1
 Leistungsregelung  
      P    I         D    TauD(s)
     0.4  0.0100    10.0    20.0
 Durchflussregelung  
      P    I         D    TauD(s)
     1.0  0.0600    20.0    15.0

Kessel 2:
 Holzkessel mit  0-10V  Temp-Anst.      
 Pumpe mit 0-10V Ansteuerung            
Leistung(kW):              800
Pumpennachlauf(s):         180
Anf. Zeit bis P-Reg(s):   1200
Max VL-Temp (>+4K AUS):   90.0
Max Spreizung(K):         24.0
Ueberh. VL-Soll(K):        5.0
MindestAA Betrieb(%):     20.0
Stellzeit P-Reg(s):         30
Kesselrang:                  2
 Leistungsregelung  
      P    I         D    TauD(s)
     0.5  0.0300    20.0    20.0
 Durchflussregelung  
      P    I         D    TauD(s)
     1.0  0.0600    20.0    15.0

Kessel 3:
 Biogaskessel P rauf/runter             
 Pumpe mit 0-10V Ansteuerung            
Leistung(kW):              436
Pumpennachlauf(s):         180
Anf. Zeit bis P-Reg(s):    500
Max VL-Temp (>+4K AUS):   88.0
Max Spreizung(K):         32.0
Ueberh. VL-Soll(K):        4.0
MindestAA Betrieb(%):     82.0
Stellzeit P-Reg(s):         30
Kesselrang:                  3
 Leistungsregelung  
      P    I         D    TauD(s)
     0.7  0.0200    15.0    20.0
 Durchflussregelung  
      P    I         D    TauD(s)
     0.6  0.0350    35.0    10.0

 Kesselrangfolge automatisch?:    NEIN 
 Kesseltoleranz Hauptkreis (K):    3.0
 Pumpenvorlauf erlaubt?:          NEIN 


BHKW 1:
Pel Max(kW):             365.0
Pel Min(kW):             200.0
erl. Pel-Soll(%) 100 -    60.0
Thermostat VL:            89.0
Thermostat RL:            69.5
Mindest VL-Soll:          76.0
Pumpennachlauf(s):         240
Freigabe? :                 JA  

 Warn. bei Starts > (in 24h):       12
 BHKW1 Einschaltverz. in MIN:        6
 BHKW1 Einschalttemp. Differ.:       4
 Min TCMAX (WW ueberladen,...):   95.0
 Minimal beachteter Strombedarf:   2.0


HK 1:  HK1 Nordtrasse     
Nennvorlauf:     80 Mindestvorl.:    75
Tagheizgrenze: 30.0 Nachtheizgr.:  50.0
Nennraumtemp.: 50.0 Nennaussen:   -10.0
Exponent:       3.0 Absenkung um:  15.0
STW HK VL:      180
Stellzeit Mischer(s):      120
Langfr. Integrator MAX:    1.0
Langfr. Integrator MIN:   -2.0
 Vorlaufregelung  
      P    I         D    TauD(s)
     1.0  0.0600    20.0    15.0
   Sollwert in %                     
   AT=20      AT=5       AT=-10 
    52.0      55.0        68.0

HK 2:  HK2 Westtrasse     
Nennvorlauf:     80 Mindestvorl.:    76
Tagheizgrenze: 50.0 Nachtheizgr.:  50.0
Nennraumtemp.: 50.0 Nennaussen:   -12.0
Exponent:       3.0 Absenkung um:  15.0
STW HK VL:      180
Stellzeit Mischer(s):      120
Langfr. Integrator MAX:    0.0
Langfr. Integrator MIN:   -2.0
 Vorlaufregelung  
      P    I         D    TauD(s)
     1.0  0.0600    20.0    15.0
   Sollwert in %                     
   AT=20      AT=5       AT=-10 
    40.0      42.0        49.0

HK 3:  HK3 Suedtrasse     
Nennvorlauf:     80 Mindestvorl.:    76
Tagheizgrenze: 50.0 Nachtheizgr.:  50.0
Nennraumtemp.: 50.0 Nennaussen:   -12.0
Exponent:       3.0 Absenkung um:  15.0
STW HK VL:      180
Stellzeit Mischer(s):      120
Langfr. Integrator MAX:    0.0
Langfr. Integrator MIN:   -2.0
 Vorlaufregelung  
      P    I         D    TauD(s)
     1.0  0.0500    20.0    15.0
   Sollwert in %                     
   AT=20      AT=5       AT=-10 
    66.2      68.0        82.0



Genibuspumpen:  
 Nr Name                 Kennl-Typ     Betrieb Handw.  ST(0,4%) ST(0,8%) ST(99,6%) ST(100%)

Impulszaehler:  
 Nr Name                       Imp./Einh.   

Unterer Heizwert Gas:  8.90

Gassensorstoerschwelle(V) :   2.50
Gassensorwarnschwelle (V) :   2.00

HZG-Druck-MIN-Warnschwelle (bar):  1.50
HZG-Druck-MAX-Warnschwelle (bar):  2.90

Ueberheizung Hauptkreis (K):   1.0

Hauptnutzungsdauer Heizung:  5:00:00 - 23:00:00
D4
